Filename,Epsilon,Mu,Sigma,TanD,TanDFreq,EpsInfinity,DispModelEps,DispCoeff1Eps,DispCoeff2Eps,UseGeneralDispersionEps,ThermalConductivity,ThermalConductivityX,ThermalConductivityY,ThermalConductivityZ,HeatCapacity,ThermalExpansionRate,Emissivity,YoungsModulus,PoissonsRatio,Rho
Preperm L680HF (loss free).mtd,6.8,1.0,N/A,0.0,0.0,N/A,None,N/A,N/A,False,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1970.0
Preperm L680HF (lossy).mtd,6.8,1.0,N/A,0.0006,1.0,N/A,None,N/A,N/A,False,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1970.0
Preperm L700HF (loss free).mtd,7.0,1.0,N/A,0.0,0.0,N/A,None,N/A,N/A,False,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1980.0
Preperm L700HF (lossy).mtd,7.0,1.0,N/A,0.0006,1.0,N/A,None,N/A,N/A,False,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1980.0
Preperm L900HF (loss free).mtd,9.0,1.0,N/A,0.0,0.0,N/A,None,N/A,N/A,False,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2200.0
Preperm L900HF (lossy).mtd,9.0,1.0,N/A,0.0004,1.0,N/A,None,N/A,N/A,False,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2200.0
Preperm L960HF (loss free).mtd,9.6,1.0,N/A,0.0,0.0,N/A,None,N/A,N/A,False,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2300.0
Preperm L960HF (lossy).mtd,9.6,1.0,N/A,0.0008,1.0,N/A,None,N/A,N/A,False,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2300.0
PTFE (loss free).mtd,2.1,1.0,N/A,0.0,0.0,N/A,None,N/A,N/A,False,0.2,N/A,N/A,N/A,1.0,140,N/A,0.5,0.4,2200.0
PTFE (lossy).mtd,2.1,1.0,N/A,0.0002,10.0,N/A,None,N/A,N/A,False,0.2,N/A,N/A,N/A,1.0,140,N/A,0.5,0.4,2200.0
Quartz (Fused) (loss free).mtd,3.75,1.0,N/A,0.0,0.0,N/A,None,N/A,N/A,False,5,N/A,N/A,N/A,0.7,0.5,N/A,75,0.17,2200.0
Quartz (Fused) (lossy).mtd,3.75,1.0,N/A,0.0004,1.0,N/A,None,N/A,N/A,False,5,N/A,N/A,N/A,0.7,0.5,N/A,75,0.17,2200.0
Rogers RO3003 (loss free).mtd,3,1.0,N/A,0.0,0.0,N/A,None,N/A,N/A,False,0.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0
Rogers RO3003 (lossy).mtd,3,1.0,N/A,0.0010,10.0,N/A,None,N/A,N/A,False,0.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0
Rogers RO3006 (loss free).mtd,6.5,1.0,N/A,0.0,0.0,N/A,None,N/A,N/A,False,0.61,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0
Rogers RO3006 (lossy).mtd,6.5,1.0,N/A,0.002,10.0,N/A,None,N/A,N/A,False,0.61,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0
Rogers RO3010 (loss free).mtd,11.2,1.0,N/A,0.0,0.0,N/A,None,N/A,N/A,False,0.66,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0
Rogers RO3010 (lossy).mtd,11.2,1.0,N/A,0.0022,10.0,N/A,None,N/A,N/A,False,0.66,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0
Rogers RO3035 (loss free).mtd,3.6,1.0,N/A,0.0,0.0,N/A,None,N/A,N/A,False,0.66,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0
Rogers RO3035 (lossy).mtd,3.6,1.0,N/A,0.0015,10.0,N/A,None,N/A,N/A,False,0.66,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0
Rogers RO3203 (loss free).mtd,3.02,1.0,N/A,0.0,0.0,N/A,None,N/A,N/A,False,0.47,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0
Rogers RO3203 (lossy).mtd,3.02,1.0,N/A,0.0016,10.0,N/A,None,N/A,N/A,False,0.47,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0
Rogers RO3206 (loss free).mtd,6.6,1.0,N/A,0.0,0.0,N/A,None,N/A,N/A,False,0.47,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0
Rogers RO3206 (lossy).mtd,6.6,1.0,N/A,0.0027,10.0,N/A,None,N/A,N/A,False,0.47,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0
Rogers RO3210 (loss free).mtd,10.8,1.0,N/A,0.0,0.0,N/A,None,N/A,N/A,False,0.81,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0
Rogers RO3210 (lossy).mtd,10.8,1.0,N/A,0.0027,10.0,N/A,None,N/A,N/A,False,0.81,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0
Rogers RO4003C (loss free).mtd,3.55,1.0,N/A,0.0,0.0,N/A,None,N/A,N/A,False,0.64,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0
Rogers RO4003C (lossy).mtd,3.55,1.0,N/A,0.0027,10.0,N/A,None,N/A,N/A,False,0.64,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0
Rogers RO4003C LoPro (loss free).mtd,3.5,1.0,N/A,0.0,0.0,N/A,None,N/A,N/A,False,0.64,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0
Rogers RO4003C LoPro (lossy).mtd,3.5,1.0,N/A,0.0027,10.0,N/A,None,N/A,N/A,False,0.64,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0
Rogers RO4350B (loss free).mtd,3.66,1.0,N/A,0.0,0.0,N/A,None,N/A,N/A,False,0.62,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0
Rogers RO4350B (lossy).mtd,3.66,1.0,N/A,0.0037,10.0,N/A,None,N/A,N/A,False,0.62,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0
Rogers RO4350B LoPro (loss free).mtd,3.55,1.0,N/A,0.0,0.0,N/A,None,N/A,N/A,False,0.62,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0
Rogers RO4350B LoPro (lossy).mtd,3.55,1.0,N/A,0.0037,10.0,N/A,None,N/A,N/A,False,0.62,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0
Rogers RO4360G2 (loss free).mtd,6.4,1.0,N/A,0.0,0.0,N/A,None,N/A,N/A,False,0.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0
Rogers RO4360G2 (lossy).mtd,6.4,1.0,N/A,0.0038,10.0,N/A,None,N/A,N/A,False,0.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0
